number,value,datetime_start,datetime_complete,duration,params_++algorithm.ent_coef,params_++algorithm.gae_lambda,params_++algorithm.gamma,params_++algorithm.learning_rate,system_attrs_fixed_params,state
0,89.09502999999998,2024-03-04 11:48:02.734652,2024-03-04 16:31:31.777397,0 days 04:43:29.042745,0.019979157928423835,0.9661337484276755,0.9538068925827309,0.0001138014666444857,,COMPLETE
1,89.00157999999999,2024-03-04 11:48:02.827111,2024-03-04 16:31:31.794161,0 days 04:43:28.967050,0.019979157928423835,0.9661337484276755,0.9538068925827309,0.0001138014666444857,"{'++algorithm.learning_rate': 0.0001138014666444857, '++algorithm.gamma': 0.9538068925827309, '++algorithm.gae_lambda': 0.9661337484276755, '++algorithm.ent_coef': 0.019979157928423835, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
2,89.00102,2024-03-04 11:48:02.894391,2024-03-04 16:31:31.809556,0 days 04:43:28.915165,0.01902576241321407,0.9810137483514373,0.9666234787512501,0.00022521025285028007,,COMPLETE
3,86.35862,2024-03-04 11:48:02.965875,2024-03-04 16:31:31.824455,0 days 04:43:28.858580,0.01902576241321407,0.9810137483514373,0.9666234787512501,0.00022521025285028007,"{'++algorithm.learning_rate': 0.00022521025285028007, '++algorithm.gamma': 0.9666234787512501, '++algorithm.gae_lambda': 0.9810137483514373, '++algorithm.ent_coef': 0.01902576241321407, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
4,91.12662,2024-03-04 11:48:03.039673,2024-03-04 16:31:31.835715,0 days 04:43:28.796042,0.020761221128841077,0.9741866754207849,0.9736560186098637,0.0014149201820238355,,COMPLETE
5,90.68602,2024-03-04 11:48:03.117391,2024-03-04 16:31:31.845537,0 days 04:43:28.728146,0.020761221128841077,0.9741866754207849,0.9736560186098637,0.0014149201820238355,"{'++algorithm.learning_rate': 0.0014149201820238355, '++algorithm.gamma': 0.9736560186098637, '++algorithm.gae_lambda': 0.9741866754207849, '++algorithm.ent_coef': 0.020761221128841077, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
6,89.09366,2024-03-04 11:48:03.174037,2024-03-04 16:31:31.854497,0 days 04:43:28.680460,0.030423355110857017,0.9575456196248605,0.9511544037324713,0.0007526748751446208,,COMPLETE
7,90.54278,2024-03-04 11:48:03.246668,2024-03-04 16:31:31.870661,0 days 04:43:28.623993,0.030423355110857017,0.9575456196248605,0.9511544037324713,0.0007526748751446208,"{'++algorithm.learning_rate': 0.0007526748751446208, '++algorithm.gamma': 0.9511544037324713, '++algorithm.gae_lambda': 0.9575456196248605, '++algorithm.ent_coef': 0.030423355110857017, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
8,88.88706,2024-03-04 11:48:03.315724,2024-03-04 16:31:31.882645,0 days 04:43:28.566921,0.02040064421351156,0.9800052772288101,0.9578927432183659,5.6900517325579924e-05,,COMPLETE
9,89.9507,2024-03-04 11:48:03.375046,2024-03-04 16:31:31.894165,0 days 04:43:28.519119,0.02040064421351156,0.9800052772288101,0.9578927432183659,5.6900517325579924e-05,"{'++algorithm.learning_rate': 5.6900517325579924e-05, '++algorithm.gamma': 0.9578927432183659, '++algorithm.gae_lambda': 0.9800052772288101, '++algorithm.ent_coef': 0.02040064421351156, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
